0 original_uv  uvhat 
11 (420,103,1),(420,0,1)
12 (252,161,1),(253,105,1)
13 (294,156,1),(294,96,1)
14 (332,151,1),(332,88,1)
15 (366,147,1),(366,81,1)
16 (397,143,1),(397,74,1)
17 (426,140,1),(426,68,1)
18 (260,209,1),(261,190,1)
19 (301,201,1),(302,177,1)
20 (338,194,1),(338,165,1)
21 (373,188,1),(372,155,1)
22 (404,183,1),(403,145,1)
23 (432,178,1),(431,136,1)
24 (268,256,1),(269,273,1)
25 (308,246,1),(309,257,1)
26 (345,237,1),(345,241,1)
27 (379,229,1),(378,227,1)
28 (409,222,1),(409,215,1)
29 (437,216,1),(437,203,1)
30 (276,302,1),(277,355,1)
31 (316,290,1),(316,335,1)
32 (352,280,1),(352,316,1)
33 (385,270,1),(384,299,1)
34 (415,261,1),(414,283,1)
35 (443,253,1),(442,269,1)
36 (285,346,1),(285,436,1)
37 (323,333,1),(323,412,1)
38 (359,321,1),(358,390,1)
39 (391,310,1),(390,370,1)
40 (420,299,1),(420,351,1)
41 (447,289,1),(447,334,1)
42 (293,389,1),(293,515,1)
43 (331,375,1),(330,487,1)
44 (365,361,1),(365,462,1)
45 (397,348,1),(396,439,1)
46 (425,336,1),(425,418,1)
47 (452,325,1),(452,399,1)
48 (301,429,1),(300,593,1)
49 (337,414,1),(337,562,1)
50 (371,399,1),(371,534,1)
51 (402,385,1),(402,508,1)
52 (430,372,1),(431,484,1)
53 (455,359,1),(457,462,1)
10 original_uv  uvhat 
0 (227,82,1),(225,19,1)
1 (265,78,1),(264,16,1)
2 (304,75,1),(303,13,1)
3 (343,73,1),(343,10,1)
4 (383,72,1),(384,7,1)
5 (423,70,1),(425,3,1)
6 (222,113,1),(222,66,1)
7 (262,110,1),(262,63,1)
8 (302,108,1),(302,60,1)
9 (344,106,1),(343,57,1)
10 (385,104,1),(385,54,1)
11 (427,103,1),(427,51,1)
12 (218,148,1),(218,115,1)
13 (259,145,1),(260,113,1)
14 (301,143,1),(301,110,1)
15 (344,141,1),(344,107,1)
16 (387,139,1),(387,105,1)
17 (430,138,1),(430,102,1)
18 (214,185,1),(215,168,1)
19 (256,183,1),(257,165,1)
20 (300,181,1),(300,163,1)
21 (344,179,1),(344,160,1)
22 (389,178,1),(388,158,1)
23 (434,176,1),(433,156,1)
24 (210,225,1),(211,223,1)
